City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,bethel,41.3712,-73.414,65.01,35,43,7.0,US,1651348429
282,viytivka,48.426,29.5429,46.96,76,17,6.58,UA,1651348429
283,lasa,46.6166,10.7002,49.08,96,98,3.36,IT,1651348372
284,opuwo,-18.0607,13.84,73.26,38,49,5.68,NA,1651348430
285,mahebourg,-20.4081,57.7,77.29,83,40,6.91,MU,1651348263
286,ahipara,-35.1667,173.1667,58.68,87,9,6.42,NZ,1651348430
287,beringovskiy,63.05,179.3167,24.85,92,100,17.81,RU,1651348431
288,turinsk,58.0458,63.696,33.51,56,1,5.57,RU,1651348431
289,lavrentiya,65.5833,-171.0,25.86,87,100,15.26,RU,1651348431
290,malatya,38.5,38.0,60.85,45,75,16.11,TR,1651348432
291,thompson,55.7435,-97.8558,41.16,60,100,11.5,CA,1651348221
292,cabo san lucas,22.8909,-109.9124,85.6,55,63,8.97,MX,1651348432
293,te anau,-45.4167,167.7167,55.18,86,100,8.95,NZ,1651348433
294,sangar,63.9242,127.4739,26.29,86,93,13.2,RU,1651348433
295,poum,-20.2333,164.0167,75.97,78,2,6.64,NC,1651348434
296,kandrian,-6.2167,149.55,76.44,89,100,3.83,PG,1651348434
297,bathsheba,13.2167,-59.5167,81.34,67,95,14.45,BB,1651348435
298,hudson bay,52.85,-102.3842,53.44,58,100,7.43,CA,1651348435
299,tual,-5.6667,132.75,83.73,74,99,15.55,ID,1651348436
300,kyzyl-suu,42.3414,78.0056,51.04,49,5,10.25,KG,1651348436
301,dhidhdhoo,6.8833,73.1,85.19,74,100,9.89,MV,1651348437
302,sazonovo,59.0919,35.2268,30.74,66,68,5.14,RU,1651348437
303,pacific grove,36.6177,-121.9166,73.24,82,40,5.99,US,1651348408
304,zhanaozen,43.3,52.8,60.48,71,98,1.59,KZ,1651348438
305,safonovo,55.15,33.2167,35.29,70,32,3.78,RU,1651348438
306,guerrero negro,27.9769,-114.0611,68.47,57,80,15.28,MX,1651348439
307,port hardy,50.6996,-127.4199,53.78,71,40,8.05,CA,1651348439
308,vila,42.0304,-8.1588,49.08,76,5,2.42,PT,1651348439
309,torbay,47.6666,-52.7314,44.76,96,100,3.44,CA,1651348440
310,pochutla,15.7432,-96.4661,87.82,41,4,9.84,MX,1651348440
311,half moon bay,37.4636,-122.4286,75.06,73,100,20.71,US,1651348441
312,amberley,39.2048,-84.428,72.05,74,100,7.0,US,1651348441
313,atar,20.5169,-13.0499,86.92,9,5,7.65,MR,1651348442
314,loikaw,19.6742,97.2094,66.36,72,35,1.12,MM,1651348442
315,balikpapan,-1.2675,116.8289,76.19,100,20,3.44,ID,1651348443
316,tuatapere,-46.1333,167.6833,58.39,75,100,12.1,NZ,1651348443
317,teya,60.3778,92.6267,32.36,96,100,4.0,RU,1651348443
318,raga,8.4596,25.678,85.26,31,99,5.97,SS,1651348444
319,paysandu,-32.3214,-58.0756,54.0,82,100,5.03,UY,1651348226
320,paraiso,9.8383,-83.8656,74.88,88,100,2.15,CR,1651348445
321,cafarnaum,-11.6936,-41.4683,77.49,49,97,9.73,BR,1651348445
322,limbang,4.75,115.0,75.31,98,100,0.83,MY,1651348446
323,zernograd,46.8452,40.3083,50.77,81,100,8.9,RU,1651348446
324,egvekinot,66.3167,-179.1667,15.26,80,100,11.01,RU,1651348447
325,asau,46.4333,26.4,47.32,92,68,2.86,RO,1651348447
326,ngunguru,-35.6167,174.5,62.35,78,32,7.27,NZ,1651348447
327,phuket,8.0,98.25,88.09,100,20,3.44,TH,1651348189
328,san rafael,-34.6177,-68.3301,67.62,27,0,5.68,AR,1651348239
329,banda aceh,5.5577,95.3222,81.16,82,100,7.29,ID,1651348448
330,san cristobal,7.7669,-72.225,84.38,82,100,6.49,VE,1651348449
331,port-gentil,-0.7193,8.7815,80.56,83,20,3.44,GA,1651348449
332,chawinda,32.3469,74.7061,85.78,29,0,7.47,PK,1651348450
333,longkou,37.6508,120.3286,49.95,52,0,15.08,CN,1651348450
334,pecos,31.4229,-103.4932,80.69,14,0,11.5,US,1651348451
335,ilulissat,69.2167,-51.1,19.36,76,5,10.63,GL,1651348451
336,awjilah,29.1081,21.2869,80.47,20,11,8.81,LY,1651348452
337,great falls,47.5002,-111.3008,56.16,38,0,13.8,US,1651348321
338,lakatoro,-16.0999,167.4164,76.3,88,100,4.25,VU,1651348452
339,kasempa,-13.4584,25.8338,59.36,63,1,4.25,ZM,1651348433
340,balkhash,46.844,74.9804,59.74,48,3,2.19,KZ,1651348453
341,cecina,43.3128,10.524,62.98,73,100,2.55,IT,1651348453
342,avera,33.194,-82.5271,83.55,40,7,6.91,US,1651348254
343,bisira,8.5196,-81.7115,67.35,85,100,1.74,PA,1651348454
344,ijui,-28.3878,-53.9147,68.02,88,93,2.66,BR,1651348454
345,kitui,-1.367,38.0106,66.79,83,100,6.82,KE,1651348455
346,madang,-5.2246,145.7966,75.16,93,94,5.26,PG,1651348455
347,port hawkesbury,45.6169,-61.3485,45.88,95,100,17.27,CA,1651348456
348,san quintin,30.4833,-115.95,67.35,62,62,13.87,MX,1651348331
349,culpeper,38.5004,-77.9664,71.2,31,0,5.01,US,1651348456
350,warri,5.5167,5.75,78.6,84,100,5.39,NG,1651348457
351,touros,-5.1989,-35.4608,80.98,71,15,15.46,BR,1651348457
352,ciudad guayana,8.3533,-62.6528,94.51,48,100,7.76,VE,1651348458
353,selfoss,63.9331,-20.9971,44.04,71,34,12.55,IS,1651348458
354,oranjemund,-28.55,16.4333,55.63,87,0,13.91,NA,1651348459
355,aswan,24.0934,32.907,94.3,10,0,6.91,EG,1651348459
356,seymchan,62.8833,152.4333,18.88,93,68,3.49,RU,1651348460
357,alexandria,31.2156,29.9553,66.16,68,0,10.36,EG,1651348460
358,narsaq,60.9167,-46.05,46.33,60,20,2.59,GL,1651348240
359,sur,22.5667,59.5289,88.83,53,90,3.67,OM,1651348277
360,santa cruz de la palma,28.6835,-17.7642,69.13,77,20,13.8,ES,1651348461
361,bud,39.447,-86.1758,77.9,64,100,15.35,US,1651348462
362,colares,38.7992,-9.4469,74.88,49,0,12.66,PT,1651348462
363,saint-joseph,-21.3667,55.6167,75.58,78,22,8.66,RE,1651348302
364,sterling,39.0062,-77.4286,70.86,29,0,5.01,US,1651348394
